,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
2015-05-01,2.7429443077930866,-0.7225142901324881,-2.0179574065528816,0.09755175405407504,1.6691009751836028,-0.030624813515131428,-0.23244436624179898,0.9504747380584326,1.6565739105050648,-0.5457128853855183
2015-05-04,0.3274673773724344,0.5879333749969781,0.12572081614554345,0.39032413639987795,-0.09387289478661295,-0.15424816468532843,0.184691208356968,0.3753647294002045,0.5923021560902538,0.9136610483881155
2015-05-05,-2.789895887149932,0.8546077509516613,2.2567848887334407,0.12807847419425564,0.8040461228413895,0.0409346781850168,-0.2282790899569543,0.24194772227239048,-0.26781139857040376,1.041069669998093
2015-05-06,-0.7801955680414363,-0.4953760193095811,0.5994263955337834,1.185851752409219,-0.024736753778783174,-0.14235448923839808,0.41403730963904084,-1.0137221177920512,-1.1085918092391036,0.8451083946375543
2015-05-07,-0.7055253296069902,-0.5091108163509076,-3.024102834501306,-1.2981490817577588,-0.37008487814171265,0.19717550221645694,-0.14255925456723317,-0.41018432396083904,0.22619231126000724,-0.6217241488484891
2015-05-08,3.324239661288187,0.1670985184063592,-0.5313873097262056,0.7702747688111711,-0.9230644541912816,0.3336981181542251,0.9456381405689639,0.775372777996873,0.15639303898426893,-0.20774411227874942
2015-05-11,-1.7847615825465297,-0.18043730532508892,-0.6580485504180001,0.1966114569061449,0.35409498632558567,0.3889991103692123,-0.79088345492423,-0.2901195205144839,1.5992713141401103,0.12355946125222146
2015-05-12,-0.2180523021104043,1.2908927417079534,1.5845212321532007,-1.1285710495870642,-0.5755071255635937,-0.1913414617695522,0.4478737914392975,0.8576035896006007,-0.6354727335088907,0.4951016386363227
2015-05-13,0.22804673888861005,3.426898922852369,0.09988266993171244,0.01434451252676199,-1.1141819625897271,0.42017420994729715,0.5114794661943289,-0.26001366953161215,-0.19540624262752618,1.6957920634190278
2015-05-14,1.7890943422451737,0.3673659690375707,-1.357582613378248,1.3437256714922967,-1.3329415619887452,-0.9614329057967677,0.15354561315971652,0.09480547141228951,-0.49779608433872197,0.20104056067343912
2015-05-15,0.3494546195811282,0.47622357712654984,0.07843286011673714,0.3923988359708029,-0.9043640071795961,0.46475716520190585,0.3157824264316783,-0.43966900327735525,-1.0205546907390446,-0.4384631812673513
2015-05-18,-0.007612538982130909,-1.026888920382524,-0.31215186267999545,0.878950082314968,-0.9913986239736895,0.16835522901380606,-0.8715327164713167,0.09201253802963795,2.59283541857982,0.6861566571685972
2015-05-19,-3.225279173196483,-3.5931052691716703,-2.189782852752163,-0.908186002649575,-0.04190946699275677,-0.8757088752379332,-0.8648534152193234,-0.00391443422972587,1.4706269762521893,-0.8725404959652814
2015-05-20,-0.8124132637363973,0.4059222239956421,1.3930202438754606,-0.7917766547659938,-0.8070668723217401,-0.465469175511439,-1.0870842900319964,1.3593049812910167,0.37518940760951824,-0.5616052727506972
2015-05-21,0.8543950672648531,-0.6424743215171093,0.6857636955750978,0.8242994699397131,-0.6416250489191658,-0.07872432884367123,0.018987580641839318,0.8715495944532919,-1.4441056336032325,0.1497562867374056
2015-05-22,-1.6874705035934974,-0.8524592714032815,-0.8165112917256055,-1.383405446769999,-0.0874750726662142,0.3108671055189427,-0.6854216626770001,-0.014094833841278779,1.5819657798207067,-0.2226653278093716
2015-05-26,-4.9269251184356895,-2.2455961625507057,-0.42793169678594434,-1.3662886853445586,0.7829410086168432,0.15481612831916497,-0.3592472023295057,-0.06139409802413817,0.5916350018676849,0.14735801456615982
2015-05-27,1.342373187297783,-0.3797752260332158,-2.2463821455034045,-0.4524217097459802,-0.9973497497895106,0.27079716315561253,-0.01340680240101619,-0.2684142880125465,0.23448079580889425,-0.4632101044610801
2015-05-28,-0.42713780327611817,1.012464421913389,0.3726441031962857,0.20735241718257078,-0.4123847064673963,0.3097690250539976,-0.7939060917113975,-0.46286786858669426,-0.4263646834326206,-0.4488430325039937
2015-05-29,-1.657893353834697,-0.6617217781534503,1.8450904933551273,-1.0476054276088669,-1.860757020823144,1.3165636045697147,-0.6610761301785497,0.49316417757196357,-1.1180997599821212,1.0904307983177663
2015-06-01,-0.00027241741028978197,-1.077647387420645,-0.7659726839108929,0.8807311213439873,-0.6029569671966274,0.0377511470953879,-0.34425661390012097,-0.539064286469878,1.74635678141884,0.3403285231612237
2015-06-02,1.6755032085764032,1.6634720011739614,1.7817597247563273,2.135584335476874,1.101625688534631,-0.37285875037158794,1.011532743498053,-0.6252076351893914,-1.3604194231064832,-0.04213904326945057
2015-06-03,-0.3759067925318433,-1.6531433825106123,-2.0542075898497507,0.3654514466367042,0.4985732971895951,0.12639448067148631,-0.06938627097826401,-0.8366143110922072,-0.1063294400400506,0.5692798879234316
2015-06-04,-3.4756120283175953,-0.2950305827886653,0.050716659753159206,1.7297793819924305,-0.8493759152549097,-0.8004825479243864,-0.0065161138988924176,-0.9702883602006911,-0.20753265371233473,-1.1236196446910494
2015-06-05,0.3716109085214894,-2.267062636566731,0.5416975081898785,-1.0071611396931686,1.0565298094832163,0.2722060916871101,-0.7742393080161655,0.7496280345687137,1.3341904731601995,0.3185675319632711
2015-06-08,-2.1292414620586495,1.6501746486420108,1.1078772815269073,1.2380726187802273,-0.18192521837005152,0.20846525105918257,1.699269557456544,-0.4453844473508538,-1.0839322839696817,0.12998251602714544
2015-06-09,0.28613778911592197,-0.9404974119860317,1.2122294410983523,0.6972179464652508,0.8042677795525762,-0.28860669945617407,0.8820604879839141,1.7214830825294587,-0.620860027369345,0.940529095225649
2015-06-10,2.907119424743181,-0.10362664671825725,-1.077299578407028,-1.6926483161817871,0.662289283334331,-0.05894440901077486,0.48310841404619576,0.9281953839645588,-0.8405845710018702,1.2098719263213547
2015-06-11,-0.6729491951732332,-1.1189228080611535,-1.469504733442561,-0.9092994697432835,-1.6699221025947102,0.3958772266829122,-0.553242091649113,-0.3029813590606542,-0.3210562239541926,-0.5303583917171428
2015-06-12,-1.873384625018544,0.16962342358636348,-0.44727229556498366,-0.09692629776130186,1.3643596720056046,-0.004505776666168701,-0.16486334587492446,-0.6859714487004049,-0.1215509402515247,-0.07119508700272917
2015-06-15,-1.57876814405366,1.297835615078899,0.19013048415857758,-1.758985102221923,-0.7232013981556235,-0.2629410207754169,1.3183245259183494,-0.3950354693567302,0.4297700907304984,0.16387876854673986
2015-06-16,0.7913804712367466,-1.3550841954532948,0.446379826898601,1.2425495102614814,-1.2562313144820516,0.08752011776312696,-0.06423028784598679,-0.06780350080434043,-0.36482733856625726,-0.141337257345556
2015-06-17,0.5486768710662512,1.595087359141467,0.10078641926993133,1.0962685829734855,-0.21336606864624283,0.18259084277670148,-0.18224384630003715,-0.03503685339593474,-0.8860782018732587,-0.9087962118092949
2015-06-18,2.426982914269282,1.276377209295752,-1.1911762219020248,0.03712276737923816,-0.9108212727367541,0.24268293932843746,-0.875052490876629,0.17272695350731945,0.11066370476304488,1.3126312093854415
2015-06-19,-2.436260284141347,-0.9407444807387051,-0.7927031081934599,-0.5535676234642233,-1.2008015248628678,-0.12476253429597085,0.5955431951999774,-0.6926447751070638,-0.7553578093541025,0.3866794695244591
2015-06-22,1.590521211209431,-2.306740709732602,0.01728207360667605,2.417972329640161,0.3665127148633118,0.17567147081215984,-0.8178559763815076,-0.297798926666922,0.3342628131082668,0.4885306337768034
2015-06-23,0.92709712301529,-1.175855257969687,1.3945602524180118,1.7173024605890752,1.0296416154851202,0.15778637499031326,-0.9032078311667507,1.1286634437174605,1.7776591582016086,-1.7040057615959399
2015-06-24,-2.1319389929536325,0.72863747441418,0.652797855822746,-0.5946875069250884,0.7112677199306896,-0.20672402444681398,0.6318058419673295,-0.30904137549251043,-0.25218656620752533,-0.20939032478167696
2015-06-25,-1.8797044286630764,-0.2384873233010918,0.4783297665268472,2.6293610506906706,-1.1439163652658526,-0.2664162572377883,0.583811419434501,-0.23728703196565396,0.19228769117474265,0.8204636509250292
2015-06-26,-0.23216379697913322,-0.8194373458064876,1.133517384263609,2.2745239650302254,-0.3837116293557482,0.08346942109711683,-0.9380271696053282,-0.684401081254483,1.128596569231699,0.045244230186802965
2015-06-29,-6.0086232054603155,1.7586902177198378,1.8611488443220727,0.5328618873676692,0.6838842195835351,-1.4304349438342292,0.9663998383239424,-1.3129386179759601,-1.83468998429256,-0.35077599993674596
2015-06-30,0.4228762621367246,-1.5133560165884314,2.161357899892652,6.392467686382313,-2.416163560590091,0.7909104546215295,-0.5003090335816432,0.14442750075234573,0.6826067680600512,0.28815339510670573
2015-07-01,-1.1689880934929044,-1.934756537094481,-3.1191388273322986,-0.7177838089214533,0.4363842870656134,0.31058740966300896,-0.6244386219895971,0.898420207971833,1.6855742942085588,1.3793108528335032
2015-07-02,0.1119051457686521,0.9383724398574375,0.5857451835748143,0.12408263279450137,-0.5044379230710134,-0.8252073024572196,0.13341311923497962,-0.37223397584190504,-0.025950766162403043,-1.0580938398150315
