,explained_variance
PC1,0.36828057701889805
PC2,0.1243410153730656
PC3,0.09928462049342589
PC4,0.053721950914519666
PC5,0.03578824213560411
PC6,0.029339418740936724
PC7,0.02897542851978352
PC8,0.02814092857118286
PC9,0.025559434170410747
PC10,0.02157071289080357
