,event_type,asset,window_days,n_events,mean_CAR,std_CAR,t_stat,pvalue,significant,mean_CAR_pre
61,FOMC,APA,3,54,-0.010416,0.081264,-0.9331,0.354985,False,-0.005927
62,FOMC,APA,5,54,-0.026732,0.130481,-1.4915,0.141764,False,-0.005927
63,FOMC,OXY,1,54,-0.004208,0.042552,-0.7199,0.474745,False,-0.001175
64,FOMC,OXY,3,54,-0.00468,0.061911,-0.5503,0.584411,False,-0.001175
65,FOMC,OXY,5,54,-0.016182,0.112938,-1.0431,0.301637,False,-0.001175
66,FOMC,TECK,1,54,0.001158,0.034845,0.2419,0.809801,False,0.003061
67,FOMC,TECK,3,54,-0.008853,0.047733,-1.3502,0.182699,False,0.003061
68,FOMC,TECK,5,54,-0.007199,0.059026,-0.8879,0.37858,False,0.003061
69,FOMC,SM,1,54,-0.00293,0.121237,-0.176,0.861,False,-0.004132
70,FOMC,SM,3,54,-0.01077,0.139841,-0.5607,0.577391,False,-0.004132
71,FOMC,SM,5,54,-0.024871,0.198252,-0.9133,0.365212,False,-0.004132
72,FOMC,TGB,1,54,-0.003584,0.056706,-0.4601,0.6473,False,-0.010104
73,FOMC,TGB,3,54,-0.010787,0.076631,-1.0247,0.310138,False,-0.010104
74,FOMC,TGB,5,54,-0.014031,0.090242,-1.1319,0.262764,False,-0.010104
75,FOMC,GORO,1,54,-0.021149,0.215266,-0.7152,0.477595,False,0.00282
76,FOMC,GORO,3,54,-0.010183,0.254621,-0.2911,0.77208,False,0.00282
77,FOMC,GORO,5,54,0.011932,0.276077,0.3146,0.754268,False,0.00282
78,FOMC,QQQ,1,54,0.001972,0.008564,1.6761,0.099617,False,-0.000603
79,FOMC,QQQ,3,54,0.003898,0.011862,2.3923,0.02032,True,-0.000603
80,FOMC,QQQ,5,54,0.004041,0.014571,2.0189,0.048564,True,-0.000603
81,FOMC,IWM,1,54,-0.000898,0.013823,-0.4727,0.638352,False,-0.001889
82,FOMC,IWM,3,54,-0.001959,0.016987,-0.8395,0.404985,False,-0.001889
83,FOMC,IWM,5,54,-0.004067,0.02337,-1.2669,0.210719,False,-0.001889
84,FOMC,IJH,1,54,-0.001942,0.010026,-1.4099,0.164406,False,5e-06
85,FOMC,IJH,3,54,-0.00359,0.01262,-2.0707,0.043274,True,5e-06
86,FOMC,IJH,5,54,-0.004893,0.016053,-2.2192,0.03078,True,5e-06
87,FOMC,MGC,1,54,8.3e-05,0.001602,0.3763,0.708202,False,0.000241
88,FOMC,MGC,3,54,0.000468,0.001938,1.7563,0.084807,False,0.000241
89,FOMC,MGC,5,54,0.000434,0.002301,1.3744,0.175095,False,0.000241
90,FOMC,^VIX,1,54,-0.000819,0.065628,-0.0908,0.927956,False,-0.020848
91,FOMC,^VIX,3,54,-0.004597,0.10638,-0.3146,0.754322,False,-0.020848
92,FOMC,^VIX,5,54,-0.041979,0.139803,-2.186,0.033253,True,-0.020848
93,FOMC,DX-Y.NYB,1,54,-0.000606,0.007879,-0.5601,0.577743,False,0.000983
94,FOMC,DX-Y.NYB,3,54,0.001404,0.011519,0.8874,0.378855,False,0.000983
95,FOMC,DX-Y.NYB,5,54,0.002334,0.011486,1.4794,0.144964,False,0.000983
96,FOMC,^TNX,1,54,-0.005445,0.043298,-0.9155,0.36409,False,0.012869
97,FOMC,^TNX,3,54,0.003331,0.086709,0.2796,0.780844,False,0.012869
98,FOMC,^TNX,5,54,-0.000496,0.069857,-0.0516,0.95901,False,0.012869
99,WASDE,CL=F,1,68,-0.001772,0.040924,-0.3543,0.724206,False,0.003522
100,WASDE,CL=F,3,68,0.004557,0.061982,0.6018,0.549312,False,0.003522
101,WASDE,CL=F,5,68,0.004232,0.07835,0.4421,0.659856,False,0.003522
102,WASDE,BZ=F,1,68,-0.00095,0.035469,-0.2193,0.827116,False,0.004227
103,WASDE,BZ=F,3,68,0.006184,0.048749,1.0384,0.302809,False,0.004227
104,WASDE,BZ=F,5,68,0.005825,0.06748,0.7066,0.482256,False,0.004227
105,WASDE,NG=F,1,68,-0.005801,0.049279,-0.9635,0.338775,False,-0.003126
106,WASDE,NG=F,3,68,-0.016036,0.074087,-1.7717,0.080993,False,-0.003126
107,WASDE,NG=F,5,68,-0.016959,0.103121,-1.3461,0.182798,False,-0.003126
108,WASDE,GC=F,1,68,0.002335,0.014957,1.2778,0.205733,False,-0.002594
109,WASDE,GC=F,3,68,0.001638,0.024953,0.5372,0.592903,False,-0.002594
110,WASDE,GC=F,5,68,0.002092,0.029534,0.5797,0.56405,False,-0.002594
111,WASDE,SI=F,1,68,0.004798,0.025735,1.526,0.131706,False,-0.005419
112,WASDE,SI=F,3,68,0.006885,0.039338,1.4325,0.156637,False,-0.005419
